Local Govt Educ Auth *,Name of School/Institution
AGEGE,DAIRYFARM COMPUTER CENTER I
AGEGE,DAIRYFARM HOME HECONOMICS CENTRE I
AGEGE,DAIRYFARM ART AND CRAFT CENTER I
AGEGE,OYEWOLE COMPUTER VOCATIONAL CENTRE II
AGEGE,OYEWOLE HOME ECONOMICS VOCATIONAL CENTRE II
AGEGE,OYEWOLE ART AND CRAFT VOCATIONAL CENTRE II
AGEGE,JUBRIL MARTINS COMPUTER CENTRE III
AGEGE,JUBRIL MARTINS HOME ECONOMICSCENTRE III
AGEGE,JUBRIL MARTINS ART AND CRAFT CENTRE III
AGEGE,AC CENTRAL COMPUTER CENTER IV
AGEGE,AC CENTRAL HOME ECONOMICS CENTER IV
AGEGE,AC CENTRAL ART AND CRAFT CENTER IV
AJEROMI IFELODUN,"HOME ECONS CENTRE, ALABA"
AJEROMI IFELODUN,"HOME ECONS CENTRE, ARAROMI"
AJEROMI IFELODUN,"MINI RESOURCE CENTRE, AJEGUNLE"
AJEROMI IFELODUN,"ARTS & CRAFT CENTRE, AJEGUNLE"
AJEROMI IFELODUN,AJIF COMPUTER CENTRE AMUKOKO
AJEROMI IFELODUN,AJIF COMPUTER CENTRE AWODI-ORA
AJEROMI IFELODUN,AJIF COMPUTER CENTRE SURU-ALABA
ALIMOSHO,"COMMUNITY VOCATIONAL CENTRE, IKOTUN"
ALIMOSHO,"COMMUNITY VOCATIONAL CENTRE, ABULE EGBA"
ALIMOSHO,"COMPUTER CENTRE, ALAGBADO"
ALIMOSHO,"COMPUTER CENTRE, EGBEDA"
ALIMOSHO,"HOME ECONOMICS CENTRE, EGBEDA"
ALIMOSHO,"HOME ECONOMICS, OKE ODO"
ALIMOSHO,"TEACHERS' RESOURCE CENTRE, OKI"
AMUWO ODOFIN,AMUWO ODOFIN MIN RESOURCES CENTRE
AMUWO ODOFIN,ART AND CRAFT CENTRE AMUWO ODOFIN 
AMUWO ODOFIN,COMMUNITY VOCATIONAL CENTRE\ F
